image_id,label
7981,0.9841373
6234,0.002323617
1269,1.34e-06
3863,0.00013479
6241,0.9970839
10304,0.39853996
623,0.9728228
2193,0.002725733
11925,0.9999997
3750,0.9995008
11378,0.9963232
2008,0.9975804
10730,0.99999505
5982,2.52e-05
7737,1.11e-06
2081,0.000560072
10597,0.00075173
6588,0.97951233
10054,0.9969762
7966,0.001452287
3919,0.99947894
6197,0.9999022
10924,0.99984825
6399,0.9999999
9960,0.000217792
3757,0.9999542
9131,0.9946346
9620,6.38e-15
9062,2.11e-07
4489,1.37e-06
3138,9.8e-06
10213,0.9999973
3417,1.0
6074,1.0
5705,6.43e-05
8953,0.000277727
764,3.08e-05
5307,3.17e-05
7894,0.9987126
5039,0.9999993
10305,0.89732444
4407,0.99989235
1700,0.001211115
1786,8.99e-07
2907,0.9996191
8930,0.9992434
11138,0.9999999
6324,6.57e-07
1075,0.99999154
4969,0.000851456
8983,2.08e-10
5584,0.004400443
10627,1.71e-07
9697,3.4e-08
3501,5.38e-05
10037,1.0
2863,0.61268854
771,0.9985868
8352,1.0099999999999999e-23
208,0.000198243
11868,0.99999994
4640,2.07e-06
7222,9.33e-09
5333,0.99701226
4125,0.040510003
6560,0.009697147
2628,0.9999968
10162,3.23e-05
8104,0.9999984
3363,0.9990585
4009,0.99991417
9645,0.99999964
9579,1.59e-09
820,1.42e-06
6943,0.9999974
3228,8.23e-07
8075,9.51e-07
6272,0.991403
1789,0.000464613
6365,0.001154919
6459,7.14e-13
5052,1.49e-07
7690,0.001387576
6653,7.49e-08
473,1.0
8864,1.06e-07
3446,0.001491847
11034,0.056362417
1792,0.99982643
4772,0.842285
7427,2.02e-06
8623,1.0
7006,0.000316965
2936,2.66e-14
2029,0.59468347
6925,0.79827976
4313,0.001168362
6295,0.029217694
5018,1.09e-09
10201,0.02007958
8914,0.9999987
11251,1.0
1411,0.9999937
7918,2.45e-05
4275,0.98550475
7245,0.9999995
3532,0.9999957
7802,1.0
1031,0.020037305
1833,0.005341873
11617,0.9998305
2675,0.000615402
5627,0.002103006
6800,0.99997437
7962,3.38e-09
11921,0.9958016
10255,0.99996036
10825,0.96320164
11236,0.22727248
2172,7.49e-05
4765,3.24e-06
6209,2.6e-06
6899,1.74e-09
8442,0.39542022
11522,0.000780175
5068,0.001453109
11529,4.24e-06
11956,1.08e-06
6229,0.99977225
1749,0.001194472
1501,0.000301312
9606,0.9999418
11684,0.9999979
8543,0.37194535
2021,7.52e-09
11855,0.9999869
5886,1.84e-07
7384,0.000247885
3899,2.07e-12
1995,9.77e-06
5477,0.16403493
1385,1.0
3651,0.9999962
8342,0.9999357
7544,0.9995875
4398,0.9986656
4581,1.0
3537,0.9923004
5575,0.022131901
2278,5.75e-10
11901,0.08855343
6831,0.999061
8929,0.99999785
1971,8.86e-06
6248,0.9992154
7061,1.0
3807,0.0176472
1383,0.91581875
9887,1.0
6337,3.17e-08
8612,0.007120838
11382,0.99997175
8218,0.035738364
333,6.55e-05
8379,0.99991107
1354,0.027148843
11087,0.000336862
5976,0.000821932
1024,0.9999999
537,0.7104912
6513,2.59e-08
7706,4.4e-06
10039,1.5e-06
3014,0.99993986
8120,5.05e-06
5147,2.58e-05
45,1.51e-07
2375,1.0
7941,0.9998119
11848,0.05887465
10550,1.53e-10
9486,2.98e-06
369,0.9996122
1626,8.72e-13
6493,0.9999871
5734,0.9991955
56,0.9530988
6797,1.0
8444,0.99999684
654,0.7468108
10598,0.99997556
4437,0.99999994
6794,4.79e-07
9462,0.9999999
11682,0.016305631
8643,1.0
9493,0.99999696
89,0.9999929
1711,4.75e-08
11428,0.9999991
6367,0.9985313
5853,0.99999994
5534,8.63e-07
20,2.81e-17
7516,8.14e-07
9083,1.75e-05
1339,0.9999828
6894,2.63e-06
4979,0.99999857
9251,0.003078983
8003,0.9984584
5392,1.0
6952,0.002827016
4351,1.0
10062,0.08576642
9589,1.0
6059,5.44e-05
275,1.0
10075,0.000108736
6458,6.98e-08
3670,2.23e-07
5882,1.1e-07
2532,0.9999968
11058,0.98703
1161,3.38e-05
11849,0.9994217
9868,0.36164838
785,0.000303415
2262,0.87244254
10611,0.9502813
2213,0.99999994
9336,0.9999849
3645,0.9999996
1940,0.9998776
1777,0.003035516
8328,1.91e-05
1380,0.92200804
9999,0.000338744
11690,0.99907684
4899,1.0
11524,0.9999991
11895,2.1e-06
6924,3.58e-05
212,0.11193155
7440,0.97423434
5482,1.0
6867,0.9424754
5852,8.93e-05
239,0.000106802
4081,1.11e-06
792,0.12101195
2057,1.0
1009,0.97583354
6196,4.18e-06
3295,0.000332602
5371,1.0
8592,5.84e-06
5941,0.9999994
5158,3.58e-06
3937,0.99984217
